grammar,meaning,example_sentences_1,meaning_example_sentences_1,example_sentences_2,meaning_example_sentences_2,image_url
~たらいいなあ,~といいなあ,明日、晴れたらいいなあ。,Giá mà ngày mai trời nắng.,試験に合格したらいいなあ。,Giá mà tôi đỗ kỳ thi.,
～ばよかった,Giá mà~ (thể hiện sự hối hận; sự ăn năn; sự hối lỗi; sự ân hận).,もっと早く寝ればよかった。,Giá mà tôi đi ngủ sớm hơn.,彼に本当のことを言えばよかった。,Giá mà tôi nói sự thật với anh ấy.,
Cách chia từ thể từ điển sang thể mệnh lệnh,Cách chuyển động từ từ thể từ điển sang thể mệnh lệnh.,食べる → 食べろ,Ăn → Ăn đi,行く → 行け,Đi → Đi đi,
Cách chia từ thể từ điển sang thể cấm đoán,Cách chuyển động từ từ thể từ điển sang thể cấm đoán.,食べる → 食べるな,Ăn → Đừng ăn,行く → 行くな,Đi → Đừng đi,
～こと,"Danh từ hóa động từ. Nghĩa là ""Hãy làm/ hãy không làm"". Thường dùng trong các cảnh báo",ここでタバコを吸わないこと。,Không hút thuốc ở đây.,宿題を忘れないこと。,Không quên làm bài tập về nhà.,
～べき,～べきだ,約束は守るべきだ。,Nên giữ lời hứa.,もっと勉強するべきだ。,Nên học nhiều hơn.,
～たらどうか,Nếu... thì thế nào?.,疲れているなら、少し休んだらどうか。,Nếu mệt thì nghỉ ngơi một chút thì thế nào?.,その服、買ったらどうか。似合うと思うよ。,"Bộ đồ đó, nếu mua thì thế nào?. Tôi nghĩ là hợp đấy.",
～ことにしている,Nói về việc bản thân mình đã quyết định làm gì đó.,毎朝ジョギングをすることにしている。,Tôi đã quyết định chạy bộ mỗi sáng.,夜は9時に寝ることにしている。,Tôi đã quyết định đi ngủ lúc 9 giờ tối.,
～ようにする,Cố gắng.,毎日野菜を食べるようにしている。,Tôi cố gắng ăn rau mỗi ngày.,早く寝るようにする。,Tôi cố gắng đi ngủ sớm.,
～ようにしてください,Dùng trong trường hợp nhờ hay khuyên ai đó 1 cách mềm mỏng hãy cố gắng làm V hoặc đừng quên làm V.,忘れ物をしないようにしてください。,Hãy cố gắng đừng quên đồ.,毎日運動するようにしてください。,Hãy cố gắng tập thể dục mỗi ngày.,
ようとする,Diễn tả việc khi bắt đầu làm hành động 1 thì có hành động 2 xảy ra.,出かけようとしたら、雨が降ってきた。,Khi tôi định ra ngoài thì trời bắt đầu mưa.,寝ようとしたら、電話が鳴った。,Khi tôi định đi ngủ thì điện thoại reo.,
