word,meaning,example_sentences_1,meaning_example_sentences_1,example_sentences_2,meaning_example_sentences_2,image_url
運動会,hội thi thể thao,運動会は毎年学校で行われます。,Hội thi thể thao được tổ chức hàng năm tại trường học.,子供たちは運動会のために一生懸命練習しています。,Trẻ em đang tập luyện chăm chỉ cho hội thi thể thao.,"https://p1-0f9088c7.imageflux.jp/c!/q=75,w=1080/2023/07/d1181fd9d8468a2ebf56c06aea744430.jpg"
盆踊り,múa Bon,夏になると、町で盆踊りが開催されます。,"Vào mùa hè, múa Bon được tổ chức ở thị trấn.",盆踊りの時、みんなで楽しく踊ります。,"Trong khi múa Bon, mọi người cùng nhau nhảy múa vui vẻ.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Bon_odori_at_Sugiyama_Kouen_Park_Nakano_City_Tokyo_04.jpg/250px-Bon_odori_at_Sugiyama_Kouen_Park_Nakano_City_Tokyo_04.jpg
フリーマーケット,chợ đồ cũ,週末にフリーマーケットに行きました。,Tôi đã đi đến chợ đồ cũ vào cuối tuần.,フリーマーケットでは色々なものが売られています。,"Tại chợ đồ cũ, có rất nhiều thứ được bán.",https://dig-it.media/wp-content/uploads/2019/10/s-DSC01561-1024x683.jpg
場所,địa điểm,この場所はとても静かです。,Địa điểm này rất yên tĩnh.,会議の場所を教えてください。,Xin hãy cho tôi biết địa điểm của cuộc họp.,https://kimini.online/blog/wp-content/uploads/2022/01/pixta_20895935_M-1200x675.jpg
ボランティア,tình nguyện viên,彼はボランティアとして働いています。,Anh ấy làm việc như một tình nguyện viên.,ボランティア活動に参加するのが好きです。,Tôi thích tham gia các hoạt động tình nguyện.,https://lceusa.com/wp-content/uploads/%E6%95%99%E8%82%B2%E3%83%9C%E3%83%A9%E3%83%B3%E3%83%86%E3%82%A3%E3%82%A2%E5%9E%8B%E7%A0%94%E4%BF%AE_%E3%82%A2%E3%82%A4%E3%82%AD%E3%83%A3%E3%83%83%E3%83%812.jpg
財布,ví,財布を忘れてしまいました。,Tôi đã quên ví ở nhà.,新しい財布を買いたいです。,Tôi muốn mua một cái ví mới.,"https://static.nike.com/a/images/t_PDP_936_v1/f_auto,q_auto:eco,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8c86a133-1a15-4c5a-ae63-2da869647630/JAM+JUMPMAN+INGOT+BIFOLD.png"
ごみ,rác,ごみを捨てる場所はここです。,Nơi để bỏ rác là ở đây.,毎日ごみを出さなければなりません。,Mỗi ngày tôi phải đổ rác.,https://i.ytimg.com/vi/YdEcD8DWoC0/sddefault.jpg
国会議事堂,toà nhà quốc hội,国会議事堂は東京にあります。,Tòa nhà quốc hội nằm ở Tokyo.,国会議事堂を見学することができます。,Bạn có thể tham quan tòa nhà quốc hội.,https://visit-chiyoda.tokyo/app/upload/images/img01%282%29.jpg
平日,ngày thường,平日は仕事があります。,"Vào ngày thường, tôi có việc.",平日は混んでいません。,"Vào ngày thường, không đông đúc.",https://i.buyiju.com/ceming/8/1191118-dy8v.jpg
~弁,tiếng,彼女は関西弁を話します。,Cô ấy nói tiếng Kansai.,日本の方言は面白いです。,Các phương ngữ của Nhật Bản rất thú vị.,https://www.nagano-chuo-hospital.jp/cardiology-center/wp-content/themes/cardiology-center/images/treatments_img_2.jpg
今度,lần sau,今度の週末、友達と遊びます。,"Cuối tuần này, tôi sẽ đi chơi với bạn bè.",今度はもっと早く来てください。,Lần sau hãy đến sớm hơn nhé.,https://japanesetest4you.com/infographic/951/jpvocab-kondo-s.jpg
ずいぶん,khá là,この本はずいぶん面白いです。,Cuốn sách này khá thú vị.,ずいぶん寒くなりましたね。,Trời đã lạnh khá nhiều rồi nhỉ.,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=3182308585155251
直接,trực tiếp、đi thẳng,彼に直接聞いてみてください。,Hãy thử hỏi anh ấy trực tiếp xem.,この道を直接行けば、駅に着きます。,"Nếu đi thẳng con đường này, bạn sẽ đến ga.",https://www.easygoamerica.com/wp-content/uploads/2023/10/EB-5%E7%9B%B4%E6%8E%A5%E6%8A%95%E8%B5%84%E6%98%AF%E4%BB%80%E4%B9%88-1024x576.png
いつでも,lúc nào cũng,私はいつでも手伝いますよ。,Tôi lúc nào cũng sẵn sàng giúp đỡ.,いつでも連絡してください。,Hãy liên lạc bất cứ lúc nào nhé.,https://claphanz.com/product/eceg/assets/image/img_kv.png
どこでも,ở đâu cũng,このアプリはどこでも使えます。,Ứng dụng này có thể sử dụng ở bất cứ đâu.,彼はどこでも寝られます。,Anh ấy có thể ngủ ở bất cứ đâu.,https://images.keizai.biz/hirosaki_keizai/headline/1630288495_photo.jpg
誰でも,ai cũng,このイベントには誰でも参加できます。,Sự kiện này ai cũng có thể tham gia.,誰でも簡単に使えるアプリです。,Đây là ứng dụng mà ai cũng có thể sử dụng dễ dàng.,"https://m.media-amazon.com/images/I/61PSRvxQOKL._AC_UF1000,1000_QL80_.jpg"
なんでも,cái gì cũng,彼はなんでも知っています。,Anh ấy biết mọi thứ.,なんでも好きなものを選んでください。,Hãy chọn bất cứ thứ gì bạn thích.,https://static.wikia.nocookie.net/v__/images/b/b2/Nan_Demo_Iu_Koto_o_Kiite_Kureru_Akane-chan.png/revision/latest?cb=20180110164126&path-prefix=vocaloidlyrics
こんな〜,như thế này,こんな天気の日は外に出たくない。,"Vào những ngày thời tiết như thế này, tôi không muốn ra ngoài.",こんな料理は初めて食べました。,Tôi đã ăn món ăn như thế này lần đầu tiên.,https://www.nihontosho.co.jp/files/konnnako_01.jpg
そんな〜,như thế đó,そんなことは言わないでください。,Xin đừng nói những điều như vậy.,そんなに高いものは買えません。,Tôi không thể mua những thứ đắt như vậy.,https://i.pinimg.com/474x/90/80/72/9080729cfccaa432bddf0f365504dc9e.jpg
あんな〜,như thế kia,あんな映画は見たくない。,Tôi không muốn xem những bộ phim như thế kia.,あんなに遠い場所には行けません。,Tôi không thể đến những nơi xa như vậy.,https://upload.wikimedia.org/wikipedia/commons/d/db/Yamada_Anna_from_%22Mountain_Woman%22_at_Red_Carpet_of_the_Tokyo_International_Film_Festival_2022_%2852460900276%29.jpg
荷物が片付けます,dọn dẹp đồ đạc,部屋の荷物を片付けます。,Tôi sẽ dọn dẹp đồ đạc trong phòng.,週末に荷物を片付ける予定です。,Tôi dự định dọn dẹp đồ đạc vào cuối tuần.,https://i.ytimg.com/vi/KxGh8MahHuI/hqdefault.jpg
ゴミを出します,đổ rác,毎朝、ゴミを出します。,Tôi đổ rác mỗi sáng.,ゴミを出すのを忘れないでください。,Xin đừng quên đổ rác.,https://e-artlife.co.jp/img/page_photo/2765/k3r4tvgusj.png
燃えるゴミ,rác cháy được,燃えるゴミは袋に入れてください。,Xin hãy cho rác cháy được vào túi.,燃えるゴミは毎週火曜日に出します。,Rác cháy được được đổ vào thứ Ba hàng tuần.,https://www.city.nerima.tokyo.jp/kurashi/gomi/wakekata/gomi.images/kanen.jpg
置き場,nơi để,この置き場はとても便利です。,Nơi để này rất tiện lợi.,置き場を整理しましょう。,Hãy sắp xếp lại nơi để.,https://www.kasegroup.co.jp/owner/wp-content/uploads/2022/06/19994d9eb60f839787ca21b14a612c02.jpg
横,bên cạnh,彼は私の横に座っています。,Anh ấy ngồi bên cạnh tôi.,横にいる友達と話します。,Tôi nói chuyện với người bạn bên cạnh.,https://kanji.jitenon.jp/shotai3/253.gif
瓶,chai,この瓶はとても大きいです。,Chai này rất lớn.,瓶の中に水を入れます。,Tôi sẽ đổ nước vào chai.,https://www.strokeorder.com/assets/bishun/stroke/29942.png
缶,lon,缶を開けるのが難しいです。,Mở lon thì khó.,この缶はビールが入っています。,Lon này chứa bia.,https://celclipmaterialprod.s3-ap-northeast-1.amazonaws.com/46/22/1272246/thumbnail?1494500699
ガス,ga,ガスが切れたので、料理ができません。,Vì hết ga nên tôi không thể nấu ăn.,ガスを使うときは注意してください。,Hãy cẩn thận khi sử dụng ga.,https://www.toysrus.co.jp/dw/image/v2/BDGJ_PRD/on/demandware.static/-/Sites-master-catalog-toysrus/default/dw62b17dc6/8/a/6/6/8a663d61f6d00c51337945a84bcb194bed56afa9_347521200A.jpg?sw=500&sh=500&q=75
〜会社,công ty,私はIT会社で働いています。,Tôi làm việc tại một công ty IT.,この会社は大きなプロジェクトを持っています。,Công ty này có một dự án lớn.,https://www.sony.com/ja/SonyInfo/rsslst00000000nn-img/Corporate_Data_PC.jpg
宇宙,vũ trụ,宇宙はとても広いです。,Vũ trụ rất rộng lớn.,宇宙についての本を読みました。,Tôi đã đọc một cuốn sách về vũ trụ.,https://assets.weforum.org/article/image/cuHc5I3U4fs7fjObO52KscXhEQbXVD1dVhPVIhnEtAA.jpeg
〜様,ông,田中様はとても親切な人です。,Ông Tanaka là một người rất tốt bụng.,お客様の様、こちらへどうぞ。,"Thưa ông/bà, xin mời quý khách qua đây.",https://upload.wikimedia.org/wikipedia/commons/b/b7/It-%E6%A7%98.png
宇宙船,tàu vũ trụ,宇宙船は地球を離れました。,Tàu vũ trụ đã rời khỏi Trái Đất.,新しい宇宙船が発表されました。,Một tàu vũ trụ mới đã được công bố.,https://aipict.com/wp-content/uploads/2022/10/spaceship_interior03-1024x563.png
怖い,sợ,その映画はとても怖かったです。,Bộ phim đó rất đáng sợ.,暗い場所は怖いです。,Những nơi tối tăm thì đáng sợ.,"https://m.media-amazon.com/images/I/71UJhEwZhtL._AC_UF1000,1000_QL80_.jpg"
宇宙ステーション,trạm vũ trụ,宇宙ステーションで生活することは特別な経験です。,Sống trên trạm vũ trụ là một trải nghiệm đặc biệt.,宇宙ステーションは地球の周りを回っています。,Trạm vũ trụ đang quay quanh Trái Đất.,https://subarutelescope.org/jp/news/2014/05/11/fig1.jpg
違います,khác,この色は違います。,Màu này thì khác.,彼の意見は私の意見と違います。,Ý kiến của anh ấy khác với ý kiến của tôi.,https://hire39.com/wp-content/uploads/2020/12/25-1.png
宇宙飛行士,nhà du hành vũ trụ,彼は宇宙飛行士になりたいです。,Anh ấy muốn trở thành một nhà du hành vũ trụ.,宇宙飛行士は訓練が必要です。,Nhà du hành vũ trụ cần phải được đào tạo.,https://humans-in-space.jaxa.jp/astronaut/item/noguchi-soichi/noguchi-soichi_main_sm.jpg
飼います,nuôi,私は犬を飼っています。,Tôi nuôi một con chó.,彼女は猫を飼うことに決めました。,Cô ấy đã quyết định nuôi một con mèo.,https://www.tanoshiijapanese.com/dictionary/entry_preview/5/29922/41010.png
道を走ります,chạy (trên đường),毎朝、道を走ります。,Tôi chạy trên đường mỗi sáng.,彼は公園の道を走っています。,Anh ấy đang chạy trên con đường trong công viên.,https://static.amanaimages.com/imgroom/rf_preview640/10272/10272004225.jpg
山が見えます,nhìn thấy (núi),窓から山が見えます。,Tôi có thể nhìn thấy núi từ cửa sổ.,晴れた日には山が見えます。,"Vào những ngày trời quang đãng, tôi có thể nhìn thấy núi.",https://media-cdn.tripadvisor.com/media/photo-s/09/4e/07/e2/rock-creek-trail.jpg
音が聞こえます,nghe thấy (tiếng),外で音が聞こえます。,Tôi nghe thấy tiếng bên ngoài.,音楽が聞こえますか？,Bạn có nghe thấy âm nhạc không?,https://media-cdn.tripadvisor.com/media/photo-s/17/aa/fc/80/caption.jpg
道ができます,được hoàn thành (con đường),新しい道ができます。,Con đường mới sẽ được hoàn thành.,この町に道ができますか？,Có con đường nào sẽ được hoàn thành trong thị trấn này không?,"https://m.media-amazon.com/images/I/811WbRtVsIL._AC_UF1000,1000_QL80_.jpg"
教室を開きます,mở,来週、教室を開きます。,Tôi sẽ mở lớp học vào tuần tới.,彼は新しい教室を開きました。,Anh ấy đã mở một lớp học mới.,https://image.jimcdn.com/app/cms/image/transf/dimension=684x10000:format=png/path/s722fcf3f327d757b/image/ie4c6460dd97b4ab0/version/1650261413/%E6%9B%B8%E9%81%93%E6%95%99%E5%AE%A4%E3%81%AE%E9%96%8B%E3%81%8D%E6%96%B9-%E5%B8%AB%E7%AF%84.png
心配(な),lo lắng,試験の結果が心配です。,Tôi lo lắng về kết quả kỳ thi.,彼女はいつも心配しています。,Cô ấy luôn cảm thấy lo lắng.,https://pikoaloha.jp/wp-content/uploads/2024/02/unsafe-hawaii.jpg
ベット,thú cưng,私のベットはとてもかわいいです。,Thú cưng của tôi rất dễ thương.,彼はベットを飼っています。,Anh ấy nuôi một thú cưng.,https://makeshop-multi-images.akamaized.net/hagimonoya/shopimages/21/07/1_000000000721.jpg?1731398151
鳥,chim,公園で鳥が飛んでいます。,Có những con chim đang bay trong công viên.,私は鳥が好きです。,Tôi thích chim.,https://www.technologyreview.jp/wp-content/uploads/sites/2/2024/04/GettyImages-2996072-scaled.jpg
声,tiếng,彼女の声はとても美しいです。,Giọng nói của cô ấy rất đẹp.,声が聞こえますか？,Bạn có nghe thấy tiếng không?,https://www.strokeorder.com/assets/bishun/animation/22768.gif
波,sóng,海の波が高いです。,Sóng biển đang cao.,波の音が心地よいです。,Âm thanh của sóng thật dễ chịu.,https://i.ytimg.com/vi/yLqZxPlxI7o/maxresdefault.jpg
花火,pháo hoa,夏祭りで花火を見ました。,Tôi đã xem pháo hoa trong lễ hội mùa hè.,花火はとてもきれいです。,Pháo hoa rất đẹp.,https://www.info-toyama.com/storage/tourism_attractions/10009/responsive_images/l2Egxd5lOxBgg5fCCAer4pnBY8ItiW9BFQM2O9Dv__1636_1227.jpeg
道具,dụng cụ,この道具はとても便利です。,Dụng cụ này rất tiện lợi.,彼は道具を使って修理します。,Anh ấy sử dụng dụng cụ để sửa chữa.,https://i.sstatic.net/5TD5Km.png
クリーニング,giặt là,クリーニングに出します。,Tôi sẽ mang đi giặt là.,この服はクリーニングが必要です。,Chiếc áo này cần được giặt là.,http://www.cleaning-m.jp/images/price/img_newprice.png
家,nhà,私の家は大きいです。,Nhà của tôi thì lớn.,家族と一緒に過ごすのが好きです。,Tôi thích dành thời gian cùng gia đình.,https://www.strokeorder.com/assets/bishun/animation/23478.gif
マンション,chung cư,彼は新しいマンションに引っ越しました。,Anh ấy đã chuyển đến một chung cư mới.,マンションの近くに公園があります。,Có một công viên gần chung cư.,https://kaihatsu.uniho.co.jp/gallery/wp-content/uploads/2024/01/cda1c21ba5aa9916bd409dc4fd465ea3.jpg
キッチン,bếp,キッチンで料理をしています。,Tôi đang nấu ăn trong bếp.,このキッチンはとても広いです。,Bếp này thì rất rộng.,https://sumai.panasonic.jp/sumai_create/hint/article/img/0092cat003/main.png
〜教室,phòng~,英語教室は二階にあります。,Phòng học tiếng Anh ở tầng hai.,美術教室で絵を描きます。,Tôi vẽ tranh trong phòng mỹ thuật.,https://as2.ftcdn.net/v2/jpg/04/11/78/73/1000_F_411787346_ppT0ACrQZrXWKyejvRtFjmx8Ie1GnUKS.jpg
パーティールーム,phòng tổ chức tiệc,パーティールームを予約しました。,Tôi đã đặt phòng tổ chức tiệc.,友達の誕生日パーティーはパーティールームで行います。,Tiệc sinh nhật của bạn tôi sẽ được tổ chức ở phòng tiệc.,https://www.instabase.jp/imgs/r/uploads/room_image/image/605000/26daea12-5e9a-4bb3-9536-51f376d1414e.jpg.large.jpeg
方,vị,あの方は先生ですか？,Người kia có phải là giáo viên không?,この方は私の友達です。,Người này là bạn của tôi.,https://www.strokeorder.com/assets/bishun/animation/26041.gif
〜後,~ sau về mặt thời gian),授業の後、友達と遊びます。,"Sau giờ học, tôi sẽ chơi với bạn.",仕事の後に映画を見に行きます。,"Sau khi làm việc, tôi sẽ đi xem phim.",https://kanji.jitenon.jp/shotai3/125.gif
〜しか,chỉ ~ (được dùng với thể phủ định),彼は日本語しか話せません。,Anh ấy chỉ nói được tiếng Nhật.,この本は一冊しかありません。,Chỉ có một quyển sách này.,https://i.ytimg.com/vi/A8DI6DF4r3Q/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLDFZc6k4pd8gFtNuoZlYDuDdpt7WQ
他の,khác,他の人と話すのが好きです。,Tôi thích nói chuyện với người khác.,他の選択肢も考えましょう。,Hãy cân nhắc các lựa chọn khác.,https://www.gabastyle.com/wp-content/uploads/synonym040_0.jpg
はっきり,rõ ràng,彼女ははっきりと話します。,Cô ấy nói rất rõ ràng.,この問題ははっきりしていません。,Vấn đề này thì không rõ ràng.,https://japanesetest4you.com/flashcard/wp-content/uploads/2017/11/jpvocab2107-n4s.jpg
家具,đồ nội thất trong nhà,新しい家具を買いました。,Tôi đã mua đồ nội thất mới.,この部屋には古い家具があります。,Căn phòng này có đồ nội thất cũ.,https://www.chinadesigncentre.com/uploads/2018/02/140049299340.jpg
本棚,giá sách,本棚に本を並べました。,Tôi đã sắp xếp sách trên giá sách.,彼の本棚はとても大きいです。,Giá sách của anh ấy rất lớn.,https://as1.ftcdn.net/jpg/00/18/98/48/1000_F_18984862_RvA0BwFHCbXYshgZke65yLHNcxdCvVfD.jpg
いつか,lúc nào đó,いつか日本に行きたいです。,Tôi muốn đi Nhật Bản một ngày nào đó.,いつかこの夢が叶うといいな。,Tôi hy vọng một ngày nào đó giấc mơ này sẽ thành hiện thực.,https://i.scdn.co/image/ab67616d0000b2733f3a6fd24fb49e6dabf7c5bf
建てます,xây,新しい家を建てます。,Tôi sẽ xây một ngôi nhà mới.,彼は学校を建てる予定です。,Anh ấy dự định xây một trường học.,https://honki.vn/storage/lesson/basic2/v4/lesson_27/picture/tatemasu.jpg
素晴らしい,tuyệt vời,この映画は素晴らしいです。,Bộ phim này thật tuyệt vời.,素晴らしい景色を見ました。,Tôi đã thấy một cảnh đẹp tuyệt vời.,https://pbs.twimg.com/media/EZloS51UYAIFKRO.jpg
子どもたち,bọn trẻ,子どもたちが公園で遊んでいます。,Bọn trẻ đang chơi ở công viên.,子どもたちに本を読んであげました。,Tôi đã đọc sách cho bọn trẻ nghe.,https://itabashi-kodomonoibasho.net/images/main.jpg
大好きな,rất thích,私は大好きな歌を歌います。,Tôi sẽ hát bài hát mà tôi rất thích.,彼女は大好きな映画を見ています。,Cô ấy đang xem bộ phim mà cô ấy rất thích.,https://i.ytimg.com/vi/9hiTaB9zJFQ/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLD6Mwx_5Ux7-A9p5fV8O2dsZ_WgHQ
主人公,nhân vật chính,この本の主人公は勇敢です。,Nhân vật chính trong cuốn sách này rất dũng cảm.,映画の主人公は彼です。,Nhân vật chính của bộ phim là anh ấy.,https://i.ytimg.com/vi/rODTSp134Uw/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBoGGJ6806FHnNj9KGocye6HoNOOw
形,hình dạng,この石は面白い形をしています。,Viên đá này có hình dạng thú vị.,彼女は形を描くのが得意です。,Cô ấy rất giỏi vẽ hình dạng.,https://www.strokeorder.com/assets/bishun/animation/24418.gif
不思議(な),kì lạ,この話は不思議です。,Câu chuyện này thật kì lạ.,不思議な現象を見ました。,Tôi đã thấy một hiện tượng kì lạ.,https://tadoku.org/japanese/wp-content/uploads/f0012t-fushigidana1.jpg
ポケット,chiếc túi,このジャケットにはポケットがたくさんあります。,Chiếc áo khoác này có nhiều túi.,ポケットに鍵を入れました。,Tôi đã bỏ chìa khóa vào túi.,https://wp.yamatomichi.com/wp-content/uploads/2019/02/2021_-5PP_Men_detail-2.jpg
例えば,ví dụ,例えば、明日は雨が降るかもしれません。,"Ví dụ, ngày mai có thể sẽ mưa.",彼はスポーツが得意です。例えば、サッカーやバスケットボールです。,"Anh ấy giỏi thể thao. Ví dụ, bóng đá và bóng rổ.",https://jlptsensei.com/wp-content/uploads/2020/02/tatoeba-%E4%BE%8B%E3%81%88%E3%81%B0-%E3%81%9F%E3%81%A8%E3%81%88%E3%81%B0-jlpt-n3-grammar-meaning-%E6%96%87%E6%B3%95-%E4%BE%8B%E6%96%87-japanese-flashcards-600x338.png
つけます,gắn,このシールをノートにつけます。,Tôi sẽ dán cái nhãn này vào vở.,彼は時計を腕に付けました。,Anh ấy đã gắn đồng hồ vào tay.,https://www.tanoshiijapanese.com/dictionary/entry_preview/5/58920/187198.png
自由に,tự do,公園で自由に遊んでください。,Hãy chơi tự do trong công viên.,彼女は自由に意見を言いました。,Cô ấy đã nói ý kiến của mình một cách tự do.,https://www.kawade.co.jp/img/cover_l/9784309032054.jpg
空,bầu trời,今日は空がとても青いです。,Hôm nay bầu trời rất xanh.,空に雲が浮かんでいます。,Có mây trôi trên bầu trời.,https://www.strokeorder.com/assets/bishun/animation/31354.gif
跳びます,bay,彼は高く跳びます。,Anh ấy nhảy rất cao.,子供たちは公園で跳び跳ねています。,Bọn trẻ đang nhảy nhót trong công viên.,https://www.tanoshiijapanese.com/dictionary/entry_preview/5/41355/54273.png
昔,ngày xưa,昔、ここに大きな城がありました。,"Ngày xưa, ở đây có một lâu đài lớn.",昔の話を聞くのが好きです。,Tôi thích nghe những câu chuyện ngày xưa.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1617203180i/57589712.jpg
自分,tự mình,自分で料理を作ることが好きです。,Tôi thích tự mình nấu ăn.,自分の意見を大切にしてください。,Hãy trân trọng ý kiến của chính mình.,https://dthezntil550i.cloudfront.net/vo/latest/vo1601032006427700000086932/1280_960/62de2410-96cd-4ff5-b430-ec4dc161b2cd.png
将来,tương lai,将来、医者になりたいです。,Tôi muốn trở thành bác sĩ trong tương lai.,将来の夢を教えてください。,Hãy cho tôi biết ước mơ trong tương lai của bạn.,http://www.efwh.com/uploads/allimg/180407/1-1P40H1005J29.jpg
パンが売れます,bán (bánh mì),この店では新鮮なパンが売れます。,Cửa hàng này bán bánh mì tươi ngon.,朝早く行くと、パンが売れています。,"Nếu đi sớm vào buổi sáng, sẽ có bánh mì được bán.",https://cocoroe.jp/wp-content/uploads/2020/12/%E5%A3%B2%E3%82%8C%E3%82%8B%E3%83%91%E3%83%B3%E5%B1%8B%E3%81%A8%E5%A3%B2%E3%82%8C%E3%81%AA%E3%81%84%E3%83%91%E3%83%B3%E5%B1%8B.jpg
踊ります,múa,友達と一緒に踊ります。,Tôi múa cùng với bạn bè.,彼女はパーティーで踊っています。,Cô ấy đang múa ở bữa tiệc.,https://www.tanoshiijapanese.com/dictionary/entry_preview/5/51983/66453.png
ガムをかみます,nhai,授業中にガムをかみます。,Tôi nhai kẹo cao su trong giờ học.,彼はガムをかみながら歩いています。,Anh ấy đang đi bộ và nhai kẹo cao su.,https://www.tsutsui-group.jp/blog/wp-content/uploads/2015/08/sweets_gum_boy1.png
選びます,lựa,好きな色を選びます。,Tôi chọn màu yêu thích.,新しい靴を選びました。,Tôi đã chọn một đôi giày mới.,https://www.tanoshiijapanese.com/dictionary/entry_preview/5/56790/73763.png
大学に通います,đi học (đại học),毎日大学に通っています。,Tôi đi học đại học mỗi ngày.,彼は東京の大学に通っています。,Anh ấy đi học ở một trường đại học tại Tokyo.,https://nihongopic.com/wp-content/uploads/2019/08/a587c45f884b7e6852421fabf0c91898.png
メモします,ghi lại,大事なことをメモします。,Tôi ghi lại những điều quan trọng.,会議中にメモを取りました。,Tôi đã ghi chú trong cuộc họp.,https://cdn.qleanmarket.amanaimages.com/uploads/items/045/945/70/preview/FYI04594570.jpg
まじめ（な）,nghiêm túc,彼はまじめな学生です。,Anh ấy là một sinh viên nghiêm túc.,まじめに勉強しなければなりません。,Tôi phải học một cách nghiêm túc.,https://i1.wp.com/hapaeikaiwa.com/wp_system/wp-content/uploads/2014/06/honest-2.jpg?fit=600%2C400&ssl=1
熱心（な）,nhiệt tình,彼女は熱心に仕事をしています。,Cô ấy làm việc rất nhiệt tình.,熱心なサポーターが応援しています。,Những người hâm mộ nhiệt tình đang cổ vũ.,https://as1.ftcdn.net/jpg/02/46/80/18/1000_F_246801873_yfUQvaF7gvnnvzgDrd1nEwmTQNq5yt7n.jpg
えらい,siêu,彼はえらい人です。,Anh ấy là một người siêu.,あなたはえらいことをしました。,Bạn đã làm một việc siêu.,"https://m.media-amazon.com/images/I/A1rOSGcgMwL._AC_UF1000,1000_QL80_.jpg"
ちょうどいい,vừa vặn,このサイズはちょうどいいです。,Kích thước này vừa vặn.,この椅子はちょうどいい高さです。,Chiếc ghế này có chiều cao vừa vặn.,http://www.town.nagaizumi.lg.jp/material/images/group/1/1118_05-01.png
景色,phong cảnh,山の景色が美しいです。,Phong cảnh núi rất đẹp.,海の景色を見に行きます。,Tôi sẽ đi xem phong cảnh biển.,https://imgs.699pic.com/images/600/406/117.jpg!detail.v1
美容院,thẩm mỹ viện,私は美容院で髪を切りました。,Tôi đã cắt tóc ở thẩm mỹ viện.,美容院はいつも混んでいます。,Thẩm mỹ viện luôn đông đúc.,http://www.believetuner.com/uploadfile/image/20160818/20160818121147344734.JPG
